,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
rating,1.0,-0.0017095582551116906,0.0018435063219329067,-0.0257037497884615,0.05159242726649469,0.012776111299984542,-0.004875873668578844
seat_comfort,-0.0017095582551116906,1.0,0.5921985090401534,0.6114735069800024,0.5198875024315672,0.6883607339995369,0.6082176319666124
cabin_staff_service,0.0018435063219329067,0.5921985090401534,1.0,0.7210273600808154,0.4831872102744799,0.6572677636788561,0.5027542505841264
food_beverages,-0.0257037497884615,0.6114735069800024,0.7210273600808154,1.0,0.4810002292496958,0.7157349260002893,0.5983471613453124
ground_service,0.05159242726649469,0.5198875024315672,0.4831872102744799,0.4810002292496958,1.0,0.6165562554493027,0.44341810013091715
value_for_money,0.012776111299984542,0.6883607339995369,0.6572677636788561,0.7157349260002893,0.6165562554493027,1.0,0.5797471490836241
entertainment,-0.004875873668578844,0.6082176319666124,0.5027542505841264,0.5983471613453124,0.44341810013091715,0.5797471490836241,1.0
